ts_start,ts_end,price
2026-01-22 00:45:00,2026-01-22 01:00:00,0.081550
2026-01-22 00:30:00,2026-01-22 00:45:00,0.086570
2026-01-22 00:15:00,2026-01-22 00:30:00,0.088280
2026-01-22 00:00:00,2026-01-22 00:15:00,0.095190
2026-01-21 23:45:00,2026-01-22 00:00:00,0.091820
2026-01-21 23:30:00,2026-01-21 23:45:00,0.093990
2026-01-21 23:15:00,2026-01-21 23:30:00,0.099320
2026-01-21 23:00:00,2026-01-21 23:15:00,0.115060
2026-01-21 22:45:00,2026-01-21 23:00:00,0.089550
2026-01-21 22:30:00,2026-01-21 22:45:00,0.092550
2026-01-21 22:15:00,2026-01-21 22:30:00,0.095930
2026-01-21 22:00:00,2026-01-21 22:15:00,0.096990
2026-01-21 21:45:00,2026-01-21 22:00:00,0.096690
2026-01-21 21:30:00,2026-01-21 21:45:00,0.097000
2026-01-21 21:15:00,2026-01-21 21:30:00,0.099960
2026-01-21 21:00:00,2026-01-21 21:15:00,0.103380
2026-01-21 20:45:00,2026-01-21 21:00:00,0.099960
2026-01-21 20:30:00,2026-01-21 20:45:00,0.102210
2026-01-21 20:15:00,2026-01-21 20:30:00,0.108750
2026-01-21 20:00:00,2026-01-21 20:15:00,0.115500
2026-01-21 19:45:00,2026-01-21 20:00:00,0.109490
2026-01-21 19:30:00,2026-01-21 19:45:00,0.114450
2026-01-21 19:15:00,2026-01-21 19:30:00,0.120520
2026-01-21 19:00:00,2026-01-21 19:15:00,0.136520
2026-01-21 18:45:00,2026-01-21 19:00:00,0.127640
2026-01-21 18:30:00,2026-01-21 18:45:00,0.129660
2026-01-21 18:15:00,2026-01-21 18:30:00,0.149040
2026-01-21 18:00:00,2026-01-21 18:15:00,0.171800
2026-01-21 17:45:00,2026-01-21 18:00:00,0.193300
2026-01-21 17:30:00,2026-01-21 17:45:00,0.269990
2026-01-21 17:15:00,2026-01-21 17:30:00,0.274480
2026-01-21 17:00:00,2026-01-21 17:15:00,0.220630
2026-01-21 16:45:00,2026-01-21 17:00:00,0.290600
2026-01-21 16:30:00,2026-01-21 16:45:00,0.263940
2026-01-21 16:15:00,2026-01-21 16:30:00,0.218190
2026-01-21 16:00:00,2026-01-21 16:15:00,0.173270
2026-01-21 15:45:00,2026-01-21 16:00:00,0.171800
2026-01-21 15:30:00,2026-01-21 15:45:00,0.250050
2026-01-21 15:15:00,2026-01-21 15:30:00,0.131580
2026-01-21 15:00:00,2026-01-21 15:15:00,0.115990
2026-01-21 14:45:00,2026-01-21 15:00:00,0.147500
2026-01-21 14:30:00,2026-01-21 14:45:00,0.147500
2026-01-21 14:15:00,2026-01-21 14:30:00,0.171800
2026-01-21 14:00:00,2026-01-21 14:15:00,0.193300
2026-01-21 13:45:00,2026-01-21 14:00:00,0.225550
2026-01-21 13:30:00,2026-01-21 13:45:00,0.250020
2026-01-21 13:15:00,2026-01-21 13:30:00,0.250010
2026-01-21 13:00:00,2026-01-21 13:15:00,0.247390
2026-01-21 12:45:00,2026-01-21 13:00:00,0.226050
2026-01-21 12:30:00,2026-01-21 12:45:00,0.218000
2026-01-21 12:15:00,2026-01-21 12:30:00,0.218000
2026-01-21 12:00:00,2026-01-21 12:15:00,0.224120
2026-01-21 11:45:00,2026-01-21 12:00:00,0.258000
2026-01-21 11:30:00,2026-01-21 11:45:00,0.290000
2026-01-21 11:15:00,2026-01-21 11:30:00,0.294910
2026-01-21 11:00:00,2026-01-21 11:15:00,0.318820
2026-01-21 10:45:00,2026-01-21 11:00:00,0.294900
2026-01-21 10:30:00,2026-01-21 10:45:00,0.325000
2026-01-21 10:15:00,2026-01-21 10:30:00,0.351200
2026-01-21 10:00:00,2026-01-21 10:15:00,0.351200
2026-01-21 09:45:00,2026-01-21 10:00:00,0.351210
2026-01-21 09:30:00,2026-01-21 09:45:00,0.384750
2026-01-21 09:15:00,2026-01-21 09:30:00,0.390000
2026-01-21 09:00:00,2026-01-21 09:15:00,0.388960
2026-01-21 08:45:00,2026-01-21 09:00:00,0.351210
2026-01-21 08:30:00,2026-01-21 08:45:00,0.351200
2026-01-21 08:15:00,2026-01-21 08:30:00,0.351200
2026-01-21 08:00:00,2026-01-21 08:15:00,0.294910
2026-01-21 07:45:00,2026-01-21 08:00:00,0.382880
2026-01-21 07:30:00,2026-01-21 07:45:00,0.351210
2026-01-21 07:15:00,2026-01-21 07:30:00,0.325010
2026-01-21 07:00:00,2026-01-21 07:15:00,0.295180
2026-01-21 06:45:00,2026-01-21 07:00:00,0.147490
2026-01-21 06:30:00,2026-01-21 06:45:00,0.113940
2026-01-21 06:15:00,2026-01-21 06:30:00,0.109370
2026-01-21 06:00:00,2026-01-21 06:15:00,0.105650
2026-01-21 05:45:00,2026-01-21 06:00:00,0.109710
2026-01-21 05:30:00,2026-01-21 05:45:00,0.105120
2026-01-21 05:15:00,2026-01-21 05:30:00,0.110940
2026-01-21 05:00:00,2026-01-21 05:15:00,0.108790
2026-01-21 04:45:00,2026-01-21 05:00:00,0.108130
2026-01-21 04:30:00,2026-01-21 04:45:00,0.108770
2026-01-21 04:15:00,2026-01-21 04:30:00,0.108270
2026-01-21 04:00:00,2026-01-21 04:15:00,0.109590
2026-01-21 03:45:00,2026-01-21 04:00:00,0.091520
2026-01-21 03:30:00,2026-01-21 03:45:00,0.091440
2026-01-21 03:15:00,2026-01-21 03:30:00,0.094610
2026-01-21 03:00:00,2026-01-21 03:15:00,0.095600
2026-01-21 02:45:00,2026-01-21 03:00:00,0.091500
2026-01-21 02:30:00,2026-01-21 02:45:00,0.093390
2026-01-21 02:15:00,2026-01-21 02:30:00,0.095780
2026-01-21 02:00:00,2026-01-21 02:15:00,0.099430
2026-01-21 01:45:00,2026-01-21 02:00:00,0.096190
2026-01-21 01:30:00,2026-01-21 01:45:00,0.096650
